Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore;Player_id
33;13;7;13;1;3;Ardian Ismajli;16569
1;0;0;1;0;0;Duccio Degli Innocenti;99999999
34;33;0;1;1;2;Bremer;14104
29;5;14;10;0;9;Cristian Ansaldi;99999999
28;1;0;27;0;0;Luca Gemello;99999999
34;26;6;2;0;2;Josip Brekalo;19097
2;0;0;2;0;0;Matthew Garbett;99999999
36;10;0;26;0;2;Etrit Berisha;99999999
35;14;10;11;2;0;Tom s Rinc n;10473
35;13;7;15;0;1;David Zima;34071
2;0;0;2;0;0;Samuele Angori;99999999
2;0;0;2;0;0;Jacopo Segre;99999999
29;21;4;4;1;8;Koffi Djidji;5939
1;0;0;1;0;0;Lado Akhalaia;99999999
25;11;7;7;0;13;Simone Verdi;99999999
2;0;0;2;0;0;Alberto Milan;99999999
36;22;7;7;0;1;M rgim Vojvoda;14765
35;28;6;1;0;3;Ricardo Rodr guez;8996
35;32;3;0;1;2;Stephane Singo;22231
31;13;11;7;0;7;Marko Pjaca;11845
35;27;0;8;0;3;Vanja Milinkovi  Savi;99999999
36;11;5;20;0;2;Karol Linetty;99999999
37;26;7;4;1;1;Samuele Ricci;27570
23;16;6;1;0;15;Andrea Belotti;758
33;17;4;12;4;0;Ola Aina;11781
24;2;13;9;0;12;Pietro Pellegri;99999999
13;0;1;12;0;7;Ben Lhassine Kone;99999999
32;6;5;21;0;5;Armando Izzo;99999999
27;0;4;23;0;6;Magnus Warming;99999999
15;1;5;9;0;1;Demba Seck;99999999
23;17;6;0;0;13;Dennis Praet;2645
32;22;7;3;0;6;Antonio Sanabria;995
36;12;11;13;0;2;Alessandro Buongiorno;19942
30;2;13;15;0;2;Daniele Baselli;99999999
35;34;1;0;2;1;Sasa Lukic;13068
10;6;3;1;0;27;Mohamed Fares;99999999
2;0;0;2;0;31;Simone Edera;99999999
16;0;9;7;0;19;Simone Zaza;99999999
2;0;0;2;0;0;Nicola Rauti;99999999
2;0;0;2;0;0;Andrei Anton;99999999
35;24;9;2;2;1;Tommaso Pobega;27618
25;16;5;4;2;11;Rolando Mandragora;9226
34;17;7;10;0;0;Manolo Portanova;24515
29;3;6;20;0;9;Riccardo Calafiori;99999999
18;16;0;2;1;0;Johan V squez;36150
15;6;4;5;0;0;Morten Frendrup;99999999
23;1;11;11;0;15;Felipe Caicedo;99999999
29;21;5;3;1;8;Andrea Cambiaso;33391
6;0;1;5;0;3;Laurens Serpe;99999999
19;5;7;7;0;5;Eddie Salcedo;99999999
27;3;14;10;0;10;Roberto Piccoli;99999999
13;9;4;0;0;2;Nadiem Amiri;99999999
28;7;11;10;0;7;Hernani;99999999
15;2;8;5;1;6;Valon Behrami;99999999
31;6;7;18;0;6;Paolo Ghiglione;99999999
29;11;8;10;4;0;Pablo Galdames;23635
25;12;11;2;1;12;Kevin Agudelo;24246
18;6;2;10;0;0;Abdoulaye Tour;99999999
23;18;2;3;0;15;Domenico Criscito;2810
34;10;15;9;0;0;Filippo Melegoni;19800
35;34;0;1;0;3;Milan Badelj;7629
23;7;13;3;0;0;Goran Pandev;99999999
32;6;1;25;0;0;Andrea Masiello;99999999
16;13;1;2;2;1;Leo  stigard;25512
6;0;0;6;0;0;Lorenzo Andrenacci;99999999
25;0;0;25;0;0;Federico Marchetti;99999999
17;5;2;10;0;0;Stefano Sabelli;99999999
1;0;0;1;1;0;Steeve Mike Eyango;99999999
32;18;12;2;0;6;Caleb Ekuban;14805
5;0;0;5;0;0;Rok Vodisek;99999999
